cluster_id,name,description,price,manufacturer
197,LG DLE3733W White XL Capacity Electric Dryer - DLE3733WH,LG DLE3733W White XL Capacity Electric Dryer - DLE3733WH/ 7.3 Cu. Ft. Capacity/ LoDecibel Quiet System/ 7 Drying Programs/ 5 Temperature Levels/ Upfront Electronic Control Panel With Dial-A-Cycle/ Drum Light/ Transparent Door Glass/ White Finish,,LG Electronics
198,"LG Electronics LSC21943ST 21.0 cu. ft. Counter-Depth Side-by-Side Refrigerator with 3 Spill-Protector Glass Shelves, SpacePlus Ice System, Digital LED Display and CustomCube Automatic Ice Maker",LG LSC21943ST Stainless Steel Side By Side Refrigerator - LSC21943SS/ 21.0 Cu. Ft. Capacity/ Digital LED Display/ SmoothTouch External Digital Temperature Controls/ 8 Digital Sensors/ OptiChill Drawer With 3 Temperature Settings/ IcePlus Accelerated Freezing Function/ Door Alarm/ LoDecibel Quiet Operation/ BioShield Anti-Bacterial Seal/ Stainless Steel Finish,,LG Electronics
199,LG 4.0 cu. ft. Capacity Front Load Washer w/ Sanitary cycle,LG WM2233W 4.0 Cu Ft White Front Load Washer - WM2233WH/ 4.0 Cu. Ft. Capacity/ SenseClean System/ Water Heater/ 7 Washing Programs/ 5 Temperature Levels/ 4 Tray Detergent Dispenser/ Sanitary Cycle/ 1100 RPM Maximum Spin/ White Finish,,LG Electronics
200,Haier 20' ATSC Color Tube Television - HTR20,Haier 20' ATSC Color Tube Television - HTR20/ Video Noise Reduction/ Multi Picture Modes/ Multilingual Display/ Digital Comb Filter/ Component Video Input/ Front AV Jacks,,Haier
201,TiVo HD Digital Video Recorder - Up to 20 Hours in HD! - TCD652160,"TiVo HD XL Black Digital Video Recorder - TCD658000/ Search, Record And Watch Shows In HD/ Save Up To 150 Hours Of HD Programming At A Time/ Control Cable TV With Pause, Rewind, Fast-Forward, And Slow-Motion/ Record Two Shows At Once In HD/ Digital Transition Ready/ Backlit Remote Control/ Netflix Instant Streaming/ TiVo Service Required And Sold Separately",$259.99,TiVo
202,Audiovox Xpress XM Satellite Radio Receiver Home Kit - XMH10A,Audiovox Xpress XM Satellite Radio Receiver Home Kit - XMH10A/ Table Top Docking Station/ AC/DC Power Adapter/ RCA Audio Cables/ Weather Resistant Window Sill Antenna,,Audiovox
203,Audiovox Xpress XM Satellite Radio FM Direct Adapter - XMFM1,Audiovox XpressR XM Satellite Radio Receiver - XMCK20P/ 6 Line Display/ Split Screen For Up To 5 Channels Simultaneously/ Customizable Sports Ticker Feature/ GameSelect And TuneSelect Features/ Universal Connector/ Pause And Replay/ Plug & Play Dock/ Sleep Mode/ Black Finish,$25.00,Audiovox
204,Sony Black DVDirect MC5 Multi-Function DVD Recorder - VRDMC5,"DVD+RW, DVD-RW, DVD+R, Memory Stick, Memory Stick Duo, Secure Digital (SD) Card, xD-Picture Card, CompactFlash (CF) - DVD Video, MP3 - 1 Disc - 12Hour Recording",$166.29,Sony
205,Apple Mac Mini 1.83GHz Intel Core 2 Duo Computer - MB138LLA,Apple Mac Mini 1.83GHz Intel Core 2 Duo Computer - MB138LLA/ 1.83GHz Intel Core 2 Duo/ 1GB Memory/ 80GB Hard Drive/ 24x Combo Drive/ Built-In Speakers/ Four USB 2.0 Ports And One FireWire 400 Port/ Mac OS X v10.5 Leopard,$599.00,Apple
206,LaCie 1TB FireWire 800/FireWire 400/USB 2.0 External Hard Drive - 301199U,LaCie 1TB FireWire 800/FireWire 400/USB 2.0 External Hard Drive - 301199U/ Triple Interface For Universal Connectivity On PC/Mac/ Built-In RAID 0 For Extreme FireWire 800 Speed/ 7200 Rotational Speed (rpm)/ Thermo-Regulated Progressive Quiet Fan,,LACIE
207,ALPINE CDA-9887 Car Audio Player - CDA9887,Alpine CD/MP3/WMA/AAC Receiver - CDA9887/ 50W x 4 High Power Amplifier/ 24-Bit DAC/ Detachable Face Plate/ Bluetooth Ready/ Rotary Encoder Knob/ 2 Line Biolite Display/ Steering Wheel Control Ready/ IMPRINT Technology/ Full Speed Connection For iPod/ iPhone Compatible,$295.00,Alpine
208,Denon X-Space Surround Bar Home Theatre System In Black - DHTFS3,"Denon X-Space Surround Bar Home Theatre System In Black - DHTFS3/ 22 Watts x 5 (6 Ohms)/ Supports All Audio Formats (Dolby Digital, DTS, Dolby Pro Logic II)/ Slim Design/ Includes Dolby Headphones/ Included Subwoofer Features One-Touch Connection/ Remote Control/ Black Finish","$1,199.00",Denon
209,OmniMount CMK-MINI Mini Wall Mounted Cable Management System,OmniMount CMK White Wall Cable Management Kit - CMKMINI/ Organize And Hide Cables And Wires/ Able To Cut And Paint To Match Any Wall/ White Finish,,"OMNIMOUNT SYSTEMS, INC"
210,Apple Wireless Mighty Mouse - MB111LL/A,Apple Wireless Mighty Mouse - MB111LLA/ Bluetooth Technology/ Laser Tracking Engine/ 360-Degree Innovative Scroll Ball And Button/ Touch-Sensitive Top Shell/ Force-Sensing Side Buttons/ Customizable/ White Finish,$69.00,Apple
211,Yamaha YSP-4000 Digital Sound Projector -- Black - YSP-4000BL,"Yamaha Black Digital Sound Projector - YSP4000BK/ 120W Total Power (2W x 40 + 20W x 2)/ Neural Surround/ SRS TruBass/ IntelliBeam/ 42 Speakers In One Box/ Cinema DSP Digital/ Compressed Music Enhancer/ High-Definition Video Upscaling To 720p/1080i/ Digital Amplifier/ HDMI/ Dolby Digital, Dolby Pro Logic II, DTS, DTS Neo:6 Compatibility/ Black Finish",,Yamaha
212,Sony PSP 2000 Playstation Portable Gaming System Core 98510 In Piano Black - 711719851004,"Sony PSP 2000 Playstation Portable Gaming System Core 98510 In Piano Black - 711719851004/ Play Games, Watch Movies On UMD Discs, And Listen To Music All In One Device/ 4.3' LCD Screen (16:9)/ 480 x 272 Pixel/ Wi-Fi (IEEE 802.11b) For Wireless Networking With Other PSP Owners/ Memory Stick PRO Duo/ 333MHz System Clock Frequency/ Piano Black Finish",$185.00,Sony
213,Apple DVI to mini-DVI Video Cable Adapter - M9321GB,"Apple Mini-DVI To DVI Adapter - M9321GB/ Compatible With iMac (Intel Core Duo), MacBook And 12' PowerBook G4/ Connects To An External DVI Monitor Or Projector/ White Finish",$19.00,Apple
214,Bose Lifestyle 48 Series IV 43479 Home Entertainment System - LS48IVWH,Bose Lifestyle 48 Series IV Home Entertainment System - LS48IVWH/ ADAPTiQ Audio Calibration System/ Acoustimass Module/ Jewel Cube Speakers/ Direct/Reflecting Speaker Technology/ VS-2 Video Enhancer/ Proprietary Videostage 5 Decoding Circuitry/ Digital 5.1 Decoding/ Control Integration/ White Finish,"$3,999.00",BOSE
215,Sony Black DVD Recorder And VHS Combo Player - RDRVXD655,Sony Black DVD Recorder And VHS Combo Player - RDRVXD655/ Multiformat DVD Compatible/ HDMI Output And 720p/1080i Upscaling/ HDTV Tuner/ 4 Video Head Stereo VHS With 19 Micron Heads/ Variable Bit Rate Recording (7 Speeds)/ Progressive Scan Playback/ Dolby Digital And DTS Decoding Playback Compatible/ TV Virtual Surround/ Black Finish,$319.00,Sony
216,Apple iPod Shuffle 1GB MP3 Player - MB226LL/A,Apple 1GB Silver 2nd Generation iPod Shuffle - MB225LLA/ Holds Up To 240 Songs/ 12 Hours Of Continuous Playback/ Skip-Free Playback/ Battery Indicator/ Shuffle Switch/ Built-In Clip/ Mac And Windows Compatible/ MB226LLA/ Silver Finish,$49.00,Apple
217,GE GSD2400NWW Dishwasher with 5 Wash Cycles - gsd2400nww,GE 24' GSD2400NWW White Built-In Dishwasher - GSD2400WH/ 4-Level PowerScrub Wash System/ HotStart Option/ Piranha Hard Food Disposer/ Heated Dry Option/ Self-Cleaning Filter System/ White Finish,$259.00,GE
218,Audiovox Commander MT XM Satellite Radio Receiver - XMRVRFM002,"Audiovox Commander MT XM Satellite Radio Receiver - XMRVRFM002, Dual Line Display/ TuneSelect Feature/ Universal Connector/ Scan And Jump Features/ Full Function Remote/ Black Finish",,Xm
219,CORDED TELEPHONE - KEYPAD - SINGLE-LINE OPERATION - 2-WAY - LCD DISPLAY - BLACK - KX-TS620B,Panasonic Integrated Black Telephone System With All-Digital Answering System - KXTS620B/ 2-Way Recording/ Call Waiting Caller ID/ Speakerphone/ 3-Line LCD/ Data Port/ Ringer Indicator Lamp/ Programmable Tone/Pulse/ Wall Mountable/ Black Finish,,Panasonic
220,Uniden DECT 6.0 Cordless Digital Answering System - DECT20802,Uniden DECT 6.0 Cordless Digital Answering System - DECT20802/ DECT 6.0 Interference Free Cordless Frequency/ Maximum Voice Security/ Wireless Network Friendly/ Expandable/ Conference Call/ Caller ID/Call Waiting/ Up To 16 Hours Talk Time,$46.72,Uniden
221,Tech Craft Veneto Series Black TV Stand - ABS60BK,Tech Craft Veneto Series Black TV Stand - ABS60BK/ Supports Up To A 60' Flat Panel TV/ Molded Top Gives It An Elegant Appearance/ Framed Doors To Conceal Components/ 200 Lbs Top Shelf Capacity/ Black Finish,$399.00,Techcraft
222,PANASONIC 2GB SD CARD PROHISPD 20 MB/SEC - RP-SDV02GU1A,Panasonic 2GB SD Memory Card - SDV02GU1A/ Class 6 Performance/ Pro High Speed Series/ Up To 20MB Per Second/ Yellow Finish,$11.99,
223,Canon CanonScan 8800F Flatbed Scanner - 2168B002,Canon Color Image Silver Scanner - 8800F/ Resolution Of Up To 4800 x 9600 Color Dpi/ Enhance Old Photos/ Auto-Image Fix/ USB 2.0 Interface/ Multi-Image Scanning/ Windows And Mac Compatible/ Silver Finish,$199.00,Canon
224,Canon EOS 40D Digital SLR Camera In Black - EOS40DBODY,"Canon EOS 40D Digital SLR Camera In Black - EOS40DBODY/ Body Only/ 10.1 Megapixel CMOS Sensor/ DIGIC III Image Processor/ Auto Pop-Up, Retractable, Built-In Flash/ 3.0' TFT Color Liquid-Crystal Monitor/ AF System With 9 Cross-Type Sensors/ Black Finish/ Lens Sold Separately",$849.95,Canon
225,Linksys Wireless-G Broadband Router - WRT54GL,Linksys Wireless-G Broadband Router - WRT54GL/ All-In-One Internet-Sharing Router/ 4-Port Switch/ Push Button Setup Feature/ TKIP And AES Encryption/ Wireless MAC Address Filtering/ Powerful SPI Firewall/ 54Mbps Wireless-G (802.11g) Access Point,$79.00,LINKSYS
226,Canon EOS 40D Digital SLR Camera with EF 28-135mm f/3.5-5.6 IS USM Lens - 1901B017,"Canon EOS 40D Digital SLR Camera And 28-135MM Lens - EOS40D28135/ 10.1 Megapixel CMOS Sensor/ DIGIC III Image Processor/ Auto Pop-Up, Retractable, Built-In Flash/ 3.0' TFT Color Liquid-Crystal Monitor/ AF System With 9 Cross-Type Sensors/ Includes 28-135MM Lens/ 1901B017 / Black Finish","$1,029.88",Canon
227,Universal Remote Control MRF-260 Barrier-Free Addressable RF Base Station,"Universal RF Base Station - MRF260/ Extends The Reception Range Up To 100 Feet Away Through Walls, Floors, Doors, Indoors Or Outdoors/ Programmed To Operate Equipment At Up To 15 Locations/ Black Finish",$149.00,"UNIVERSAL REMOTE CONTROL, INC"
228,Sony HD-Handycam 1.5 Meters (5 Feet) HDMI Mini Cable - VMC15MHD,Sony HD-Handycam 1.5 Meters (5 Feet) HDMI Mini Cable - VMC15MHD/ Gold Plating Plug/ HDMI-Compliant High Speed Category 2 Cable/ Support Full HD 1080p/ Digital Audio Transfer/ 1.5 Meters(5 Feet)/ Black Finish,$26.95,Sony
229,Canon PIXMA MX310 Multifunction Photo Printer - 2184B002,"Canon PIXMA Multifunction Printer - MX310/ Up To 4800 x 1200 Color DPI Resolution/ Microscopic 2-Picoliter Sized Ink Droplets/ Built-In Auto-Image Fix/ Quick Start/ Smart Copying/ Copies, Scans, Faxes And Prints Documents/ Prints Photos",$89.99,Canon
230,Chestnut Hill CHS40001 Chestnut Hill George Ipod Dock Compact Stereo System,Chestnut Hill Sound George iPod Music System In White - CHS4001/ Playback System For The iPod/ Full Feature Wireless Remote/ Charging Stand Kit/ Bandless AM/FM Radio/ Easy Set Alarm/ Detachable Front Panel/ White Finish/ iPod Sold Separately,$499.00,Chestnut Hill
231,Sony White Cybershot T Series Digital Camera Jacket Case With Stylus - LCJTHCW,Sony White Cybershot T Series Digital Camera Jacket Case With Stylus - LCJTHCW/ For 2007 Cybershot T Series Camera/ Stylus Included/ Custom-Fitted/ White Finish,$35.08,Sony
232,Sony Universal Remote Commander Remote Control - RMV310,Sony Universal Remote Commander Remote Control - RMV310/ Controls Up To 7 AV Components/ Compatible With Most Of Major Brands/ Comfortable Ergonomic Design/ Silver Finish,$14.72,Sony
233,Omnimount 42' - 63' Wishbone Cantilever Extra Large Flat Panel TV Silver Wall Mount - UCLXB,Omnimount 42' - 63' Wishbone Cantilever Extra Large Flat Panel TV Silver Wall Mount - UCLXB/ Double Stud Mounting/ Dual Arm Cantilever Mount/ Lift n Lock For Easy Installation/ Integrated Cable Management/ Supports Up To 200 Lbs,$292.92,"OMNIMOUNT SYSTEMS, INC"
234,Sony Universal Remote Control - RM-EZ4,Sony Universal Remote Control - RMEZ4/ Easy-To-Use Simplified Functions/ Controls TV And Cable Box/ Compatible With Most Of Major Brands/ Large Buttons For Easy Operation/ 3-Minute Memory Backup/ Comfortable Ergonomic Design/ Silver Finish,$16.00,Sony
235,Directed Electronics SCH1 SiriusConnect Home Tuner,Sirius SiriusConnect Home Tuner - SCH1/ Compact Size/ Analog And Digital Audio Outputs/ Display Indicators/ Connects To Any Sirius-Ready Home Audio Component,$49.00,Sirius
236,Frigidaire GLD4355RFB Gallery SpeedClean 24' Black Dishwasher - GLD4355BK,Frigidaire GLD4355RFB Gallery SpeedClean 24' Black Dishwasher - GLD4355BK/ 5-Level Precision Direct Wash System/ Variable Washing Pressure/ Power Dry Drying System/ GraniteGrey Interior/ Stainless Steel Food Disposer And Self Cleaning Filter/ 12 Easy Clean Electronic Touchpads With Digital Display/ Smart Soil Sensor/ UltraQuiet Plus Sound Insulation Package/ Black Finish,$451.29,Frigidaire
237,Frigidaire GLD4355RFS Gallery SpeedClean 24' White Dishwasher - GLD4355WH,Frigidaire GLD4355RFS Gallery SpeedClean 24' White Dishwasher - GLD4355WH/ 5-Level Precision Direct Wash System/ Variable Washing Pressure/ Power Dry Drying System/ GraniteGrey Interior/ Stainless Steel Food Disposer And Self Cleaning Filter/ 12 Easy Clean Electronic Touchpads With Digital Display/ Smart Soil Sensor/ UltraQuiet Plus Sound Insulation Package/ White Finish,$443.81,Frigidaire
238,Speck Products ToughSkin for iPod classic - IC-BLK-TS,Speck Black ToughSkin iPod Classic Case - ICBLKTS/ Rubberized Corners Provide Extra Protection/ Removable Belt Clip/ Made From Strong Tear Resistant Material/ Fits 80GB/160GB iPod Classic/ Black Finish,$12.95,Speck Products
239,Garmin Replacement USB Cable - 0101072301,"Garmin Replacement USB Cable - 0101072301/ Link PC To The Car GPS System/ Transfer And Download Created Routes, Maps From PC To GPS/ Black Finish",$8.15,Garmin
240,Yamaha High Performance Subwoofer In Black - YSTFSW150BK,Yamaha High Performance Subwoofer In Black - YSTFSW150BK/ 130 Watts Dynamic Power/ Advanced YST II (Yamaha Active Servo Technology)/ Linear Port/ Powerful 6.5? Multi-Range Driver/ Magnetically Shielded/ 30 -150 Hz Low Frequency Response/ Down-Firing Active Design/ Best Matching For Front Surround Systems And Micro Component Systems/ Black Finish,$279.00,Yamaha
241,Kenwood Sirius Radio Translator For In-Dash Head Units - KCASR50,Kenwood Sirius Radio Translator For In-Dash Head Units - KCASR50/ Provides Full Control Of The SIRIUS Radio/ Displays Text On The Stereo And Supplies Power To The Satellite Radio,$60.00,Kenwood
242,Canon PIXMA MX700 Multifunction Photo Printer - 2186B002,"Canon PIXMA MX700 Multifunction Printer - MX700C/ Advanced 5 In 1 Printer, Scanner, Copier, Fax Machine/ High Resolution Up To 4800 x 1200 Color Prints/ 2 Way Paper Feed/ Auto-Image Fix/ Quick Start/ Memory Card Slot/ Grey And Black Finish",,Canon
243,Sony InfoLITHIUM D-Type NP-FD1 Digital Camera Battery - NPFD1,"Sony Lithium-Ion Rechargeable Battery Pack - NPFD1/ InfoLITHIUM Long-Lasting Lithium-Ion Battery/ Compatilble With Sony Cyber-Shot DSCT2 Series, DSC-T70 Series, And DSC-T200 Series",$41.72,Sony
244,Linksys WPSM54G Wireless-G USB Print Server,"Linksys Wireless-G PrintServer - WPSM54G/ Share A Multifunction Printer With Everyone On Your Network (Works With Most USB Printers)/ Allows Full Access To Printing, Faxing, Scanning And Copying Functions/ Connects Your Printer Directly To The Network By 10/100 Wired Ethernet Or 54Mbps Wireless-G",$99.00,LINKSYS
245,DELONGHI DCF212T 12-Cup Drip Coffee Maker,Delonghi Coffee Maker In Black - DCF212T/ Complete Frontal Access/ 12 Cup Capacity/ 24 Hour Programmable Digital Timer/ Pause And Serve Function/ Permanent Long Lasting Gold - Tone Filter/ Black Finish,$49.99,DeLonghi
246,Sirius STILETTO 2 Portable Satellite Radio - SL2PK1,Sirius STILETTO 2 Portable Satellite Radio - SL2PK1/ SIRIUS Replay Controls/ Record Up To 100 Hours/ Stores Up To 10 Hours Of Individual Songs/ 2GB Internal Memory/ Personalized Sports Ticker/ SRS TruBass And 3D Focus Technologies/ WiFi/ Black Finish,$234.99,Sirius
247,SIRIUS SLH2 SIRIUS? Stiletto 2 Portable Radio Home Kit,Sirius STILETTO 2 Home Docking Kit - SLH2/ Stereo Audio Output Connects With Home Audio System Or Speakers/ Headphone Jack/ PC Sync/ Compatible With Stiletto 2 Radios/ Charges Stiletto 2 While Docked/ Black Finish,$49.00,Sirius
248,Sirius Sportster 5 Dock And Play Radio With Car Kit - SP5TK1,Sirius Sportster 5 Dock And Play Radio With Car Kit - SP5TK1/ Simple Navigation/ Vivid Multi-Color Display/ SIRIUS Replay Allows Replay Up To 60 Min./ 30 Presets/ FM Preset Function/ One-Touch Jump Button/ Rotary Tuning Knob/ Parental Controls/ Personalized Sports Ticker/ Black Finish,$131.99,Sirius
249,Nikon D300 Digital SLR Digital Camera - D300BODY,"Nikon D300 Digital SLR Digital Camera - D300BODY/ 12.3 Megapixel DX-Format CMOS Sensor/ 3' Super Density 920,000-dot VGA Color Monitor/ Continuous Shooting Up To 6 Frames Per Second/ Fast Accurate 51-Point Autofocus With 3D Focus Tracking/ Scene Recognition System (SRS)/ Dynamic Integrated Dust Reduction System/ Two LiveView Shooting Modes/ Picture Control Settings/ Rugged Magnesium-Alloy Construction/ Black Finish/ Body Only","$1,521.09",Nikon
250,Transcend 4GB Secure Digital High-Capacity (SDHC) Class 6 Memory Card - TS4GSDHC6,Transcend 8GB Micro Secure Digital Memory Card - TS8GUSDHC6/ 8GB MicroSD Card With Adapter/ Compatible With Cell Phones And Mobile Devices With MicroSD Input/ Mechanical Write Protection Switch/ Includes Adapter To Fit SDcard Slot For Data Transfer/ SDHC Class 6 Compliant/ Black Finish,$11.45,TRANSCEND INFORMATION
251,Panasonic BB-HCM331A Outdoor Network Camera with 2-Way Audio,Panasonic Outdoor Network Camera - BBHCM331A/ Two-Way Voice Communication/ CCD Sensor For Enhanced Image Expression/ 10x Digital Zoom/ 23 Preset Parameters/ Control The Camera Remotely/ Record Directly Onto SD Cards/ Silver Finish,,Panasonic
252,Microsoft Office 2007 Standard - 021-07746,"Microsoft Office Standard 2007 - 02107746/ Create Documents Faster, More Easily And More Intuitively/ Automatic Document Recovery Tool/ Document Inspector/ Online Tutorials With Step-By-Step Instructions/ Compatible With Windows Vista, Windows XP SP2 And Windows Server 2003 SP1",$399.00,Microsoft
253,Jabra Black Bluetooth Headset - BT5010,Jabra Black Bluetooth Headset - BT5010/ Up To 10 Hours Of Talk Time And 300 Hours Of Stand-By/ Wind-Noise Reduction Technology/ Vibrating And Visual Alerts/ Colored LED Indicator/ Up To 33-Foot Wireless Range/ Black Finish,$79.00,Jabra
254,Kensington Orbit Optical Trackball - USB w/PS2 Adapter - 64327,Kensington Orbit Optical Trackball Mouse - 64327/ DiamondEye Optical Technology For Precise Tracking And Cursor Control/ USB And PS/2 Connectivity For Greater Compatibility/ Windows And Mac Compatible/ Metallic Silver And Black Finish,$38.00,Kensington
255,Haier 13' TV/DVD Combo - TCR13,Haier 13' TV/DVD Combo - TCR13/ Integrated ATSC/NTSC - QAM Tuner/ 480I Resolutions/ Digital Comb Filter/ Video Noise Reduction/ Trilingual On-Screen Display/ Full Function Remote/ V-Chip Parental Control/ Silver Finish,,Haier
256,Twenty20 VholdR Wearable Camcorder Bundle - 1102,Twenty20 VholdR Wearable Camcorder Bundle - 1102/ CMOS Sensor/ Shoots Action Video And Shares Directly To VholdR.Com/ Captures Your Experiences In Real Time/ Processes Your Video With A Fineline Compression Algorithm/ Stores The Video In A High Quality Format To Its Own Memory Card/ Two Hour Capacity Lithium Battery/ Included USB Cable And 1GB Micro SD Card,,VholdR
257,SIRIUS SLV2 SIRIUS Stiletto 2 Portable Radio Vehicle Kit,Sirius Stiletto 2 Vehicle Kit - SLV2/ Designed For Use With The Sirius Stiletto 2/ Get Direct One-Touch Access To Traffic And Weather/ Built-In FM Transmitter To Play Satellite Radio Through Your Cars Audio System,$49.00,Sirius
258,MOTOROLA T305 BLUETOOTH VISOR SPEAKER PHONE CAR KIT - RETAIL - 89082J,Motorola Portable Bluetooth Car Kit Speaker Phone - T305/ 2.0 Bluetooth Wireless Technology/ Noise Cancellation Technology/ Loud Sound High Speaker Output/ Convenient Multi-Function Button/ Up To 14 Hours Of Talk Time And 14 Days Of Standby Time/ Mini-USB Connector/ Black Finish,$69.00,Motorola
259,Sony HD-Handycam 3 Meters (10 Feet) HDMI Mini Cable - VMC30MHD,Sony HD-Handycam 3 Meters (10 Feet) HDMI Mini Cable - VMC30MHD/ Gold Plating Plug/ HDMI-Compliant High Speed Category 2 Cable/ Support Full HD 1080p/ Digital Audio Transfer/ 3 Meters(10 Feet)/ Black Finish,$69.00,Sony
260,Altec Lansing Orbit-MP3 Portable Audio System - IM207,Altec Lansing Orbit-MP3 Portable Audio System - IM207/ Fusion360 Technology/ Plays For Up To 24 Hours On 3 AAA Batteries/ Shock-Resistant/ Personal Configuration,,Altec Lansing
261,Uniden DCX300 DECT 6.0 Accessory Handset and Cradle for the DECT2000 series,Uniden DECT 6.0 Digital Accessory Handset - DCX300/ DECT 6.0 Interference Free Cordless Frequency/ Large Color Display/ Blue Backlit Keypad/ Handset Speakerphone/ Intercom or Call Transfer Between Handsets/ Polyphonic Ring Tones/ Advanced Phonebook Features/ Last 5 Number Redial/ Piano Black Finish,$34.00,Uniden
262,Fellowes Powershred Personal SB-97Cs Confetti Cut Shredder - 3219701,"Fellowes Personal Powershred Shredder - SB97CS/ Shreds CDs, Paper Clips, Credit Cards, Staples/ Cross-Cut/ 17 Sheet Capacity/ Auto Start/Stop/ 10 Gallon Basket Capacity/ Silver Finish",$240.67,Fellowes
263,Canon E-P100 Photo Pack For Selphy ES1 Printer - 1335B001,Canon Easy Photo Pack - 1335B001/ Combines Ink And Paper Into One Cartridge/ Dye-Sublimination Technology,$21.23,Canon
264,Klipsch RoomGroove Wireless iPod Speaker System - 1006602,Klipsch Black Wireless iPod Speaker - ROOMGROOVE/ Wirelessly Sends CD-Quality Music To/From Other RoomGrooves/ Retractable Dock Charges iPods With 30-Pin Connectors/ Horn-Loaded Technology For Precise High Tones/ Dual High-Output Woofers Deliver Room-Filling Bass/ Black Finish,$299.00,Klipsch
265,Alpine CD-R/-RW/MP3/AAC/WMA Receiver - CDA9886,Alpine CD-R/-RW/MP3/AAC/WMA Receiver - CDA9886/ 18W RMS/50W MAX x 4/ BioLite High-Definition Display/ Blue Illumination/ 24-Bit DSP With Integrated DAC And 8x Oversampling/ Rotary Encoder Volume Control/ 3 Preouts (4 Volts)/ Bluetooth Ready With AV Profile/ Ai-NET Bus System,,Alpine
266,"Logitech QuickCam Communicate STX Webcam - Black, Charcoal - 961464-0403",Logitech QuickCam Communicate STX - 961464/ 640 x 480 Video Capture/ 1.3 Megapixel Still Image Capture/ Built-In Microphone With RightSound Technology/ 30 Frames Per Second/ Adjustable Base Fits Any Monitor Or Notebook/ USB 2.0 Certified,$49.00,Logitech
267,Transcend JetFlash V10 16GB USB Flash Drive - TS16GJFV10,Transcend JetFlash V10 16GB USB Flash Drive - TS16GJFV10/ Hi-Speed USB 2.0/ Capless Sliding Design Protects The Connector/ Easy Plug And Play Installation/ AES Encryption/ DataBackup Function/ Keychain Hook And Neck Strap/ Green Finish,$14.50,TRANSCEND INFORMATION
268,GE 24775 Amplified Quantum HDTV Antenna,"GE Amplified Quantum Antenna - TV24775/ Receives, Filters And Amplifies Signals For Improved Performance/ Amplified For Maximum Strength/ Receives Standard VHF/UHF Signals/ 3 Panel Design For One Time Positioning",,GE
269,Peerless 42' - 71'  Articulating Flat Panel TV Silver Dual Wall Arm Mount - PLAV70UNLPS,Peerless 42' - 71'  Articulating Flat Panel TV Silver Dual Wall Arm Mount - PLAV70UNLPS/ Anti-Lockout Feature Prevents Joint Binding/ Vertical Adjustment/ Snap-Cover Cord Management And Mesh Cord Sheaths/ 200 Lbs Load Capacity/ Silver Finish,$449.52,Peerless
270,Panasonic Black Expandable Digital Cordless Dect 6.0 Phone System - KXTG8232B,Panasonic Black Expandable Digital Cordless Dect 6.0 Phone System - KXTG8232B/ Large 1.5' Color LCD/ Extended Talk Time/ Reduced Interference/ Hearing Aid Compatibility/ All-Digital Answering System/ 2 Handsets/ Piano Black Finish,$79.99,Panasonic
271,Sirius Plug And Play Universal Home Kit - SUPH1,Sirius Plug And Play Universal Home Kit - SUPH1/ Compatible With All Of The Newest SIRIUS Plug & Play Radios/ Stereo Audio Output For Use Your Home Audio System Or Powered Speakers/ Sleek Compact Design/ High Gloss Black Finish,$49.00,Sirius
272,Logitech White V470 Cordless Laser Mouse For Apple Notebooks - 910000692,Logitech White V470 Cordless Laser Mouse For Apple Notebooks - 910000692/ Laser Precision/ Side-To-Side Scrolling Plus Zoom/ Bluetooth Wireless Technology/ Protective Pouch/ Battery Life Indicator/ White Finish,$49.00,Logitech
273,Belkin Hi-Speed USB 2.0 7-Port Hub - F5U237-APL-S,Belkin Hi-Speed USB 2.0 7-Port Hub - F5U237APLS/ Transfers Data Up To 480Mbps/ Installs Easily With Plug-And-Play Convenience/ Works Seamlessly With All USB 1.1 And USB 2.0 Devices/ Over-Current Detection And Safety/ Mac And PC Compatible/ Silver Finish,$49.00,Belkin
274,"Sony Mylo COM-2 PDA (1GB, Memory Stick Duo) Personal Communicator - COM2WHITE",Sony Mylo White Personal Communicator - COM2WHITE/ 3.5' WVGA LCD Touch Screen/ 1.3 Megapixel Camera/ Voice Calling With Skype/ IEEE 802.11b/g Wireless LAN/ Music And Video Player/ Memory Stick Duo/PRO Duo Expansion Slot/ 1GB Internal Memory/ Built-In Microphone/ White Finish,$197.88,Sony
275,Sony Mylo COM-2 Personal Communicator - Black - COM2BLACK,Sony Mylo Black Personal Communicator - COM2BLACK/ 3.5' WVGA LCD Touch Screen/ 1.3 Megapixel Camera/ Voice Calling With Skype/ IEEE 802.11b/g Wireless LAN/ Music And Video Player/ Memory Stick Duo/PRO Duo Expansion Slot/ 1GB Internal Memory/ Built-In Microphone/ Black Finish,,Sony
276,LaCie 500GB USB 2.0 External Hard Drive - 301302U,LaCie 500GB USB 2.0 External Hard Drive - 301302U/ Up to 480Mbits/s (60MB/s) Interface Transfer Rate/ Smart Fanless Cooling System For Quiet Operation/ Blue LED For Ambient Underside Glow/ 8MB Cache/ Compatible With Windows And Mac/ Black Finish,$86.95,LACIE
277,Netgear ProSafe WG102 Wireless Access Point 802.11g - WG102NA,"Netgear Wireless Access Point - WG102/ High-Speed IEEE 802.11g, Up To 108 Mbps In Turbo Mode/ Wi-Fi Protected Access (WPA 802.11i-Ready Security)/ Integrated IEEE 802.3af Power Over Ethernet (PoE)/ Block SSID Broadcast/ VPN Pass-Through Support",$186.00,Netgear
