cluster_id,title,description,manufacturer,price,name
351,ca brightstor arcserve backup r11.1 for netware upgrade from arcserve 7 for netware,computer associates international bablbr1150s06 : usually ships in 24 hours : : the brightstor arcserve backup enterprise option for ingres enables hot fast non-disruptive backups and efficient restores for ingres database users.,computer associates,842.73,bablbr1150s06 brightstor arcserve backup enterprise option for advantage ingres for linux - (
352,mobileinventory additional mobile license,wasp bar code 633808344078 : usually ships in 24 hours : : wasp mobileinventory equips you to manage and track your inventory using your desktop pc and your palm os or wasp wdt2200 handheld! within minutes check items in and out manage item ...,wasp technologies,409.56,633808344078 wasp mobileinventory combo pack - w/ spt1550 - license - 1 additional mobile dev
353,phonics success deluxe 2006 (large box),from learning consonants vowels and their assembly into words phonics is a cognitive approach to reading. using 11 actrivity-based lessons your child can learn to read easily and actually find reading to be fun. it's a great way to stimulate and extend an active approach to reading throughout your child's life.,topics entertainment,49.99,phonics success deluxe 2006
354,sibelius 4 educational edition,sibelius is the complete software for writing playing printing and publishing music notation. it will make your life easier save you time produce fantastic results and enable you to do things you might never have dreamed of like publish your music on the internet or create your own cds. the new version sibelius 4 takes another giant leap forward with astonishing new features no other program can touch: dynamic parts beautifully laid-out instrumental parts that magically update themselves whenever you change the full score. worksheet creator save time by choosing from over 1700 high-quality worksheets exercises songs instrumental pieces lyrics posters & other resources. video now you too can compose a film/tv score! for professionals and students alike. includes videos to write for from charlie chaplin to mr bean. supports avi mpeg wmv (windows) mov formats with full smpte capability. other new features: sibeliuseducation.com optical beams & ties helsinki & other music fonts 11 new plug-ins on-screen tutorials & reference new & improved instruments from fife to balalaika family write remote keys enharmonically in transposing instruments (option) wildcards to include title page number date etc. in text print 2-up printing spreads improved reorder words in word menus improved quick start dialog many bugs fixed other key sibelius features: kontakt player...,sibelius software ltd.,329.0,sibelius sibelius 4 software - educational discount music production software
355,zipmagic personal edition,access anything zip everything - even photos! compress photos compress jpeg images strong 512-bit encryption safeguards privacy and much more!,allume systems,19.95,zipmagic personal edition
356,turbocad mac 3d for mac,turbocad 3d is a precise cad software application that provides state of the art modeling tools without sacrificing speed and ease of use. use turbocad 3d on your macintosh to explore and develop new product concepts using a variety of 2d and 3d ...,imsi,249.99,imsi design llc turbocad mac 3d
357,crystal reports 11 professional full product french,- marketing information: crystal reports the worldandquot;s leading reporting tool gives you a powerful flexible and open environment to work in. create flexible high-fidelity reports and tightly integrate them into applications with the latest version of crystal reports. product information - software sub type: database reporting - software name: crystal reports v.xi professional edition - complete product - features and benefits: report types: - mailing labels - cross-tab reports - form-style reports - subreports - conditional reports - top/bottom n reports - drill-down/summary reports - olap reports chart types: - bar - stacked bar - column - stacked column - line - area - numeric or date/time x-axis - pie - scatter - bubble - guage - gantt - funnel high productivity report creation: - report design wizard - data explorer - report explorer - workbench - field explorer - microsoft excel and access add-ins - report experts for automatic report creation - graphical table linking - field mapping between databases - repository for component reuse - custom templates - template window (design) - fully customizable runtime preview window - drill down in runtime preview window - auto saving comprehensive formatting and design control: - guidelines and vertical rulers - automatic styles auto-arrange fields ruler - drag and drop browse field data - drawing-style interface - moving and resizing objects s,business objects,909.66,crystal reports xi professional edition - complete package
358,bias peak pro 5 ( macintosh ),peak pro 5 is the fastest and most powerful set of tools for serious sound design for film video or multimedia. craft the perfect audio experience whether you're creating the soundtrack for a film editing a broadcast or transferring your old vinyl to digital format peak pro 5 does more than any other competing product. up to 32-bit 10mhz including 24 bit 96khz (hd) advanced vst/au plug-in routing matrix via integrated vbox se impulseverb applies over 150 real room ambiance spaces to any audio file (g4 mac required) simultaneous document viewing with window tiling multithreaded processing and mp optimized unlimited undo/redo with graphic edit histories customizable display key commands tool bar reads/writes aiff sdii quicktime mp3 mp4 wave au sonic aiff jam image raw ddp (optional) and more automated repair clicks & remove dc offset trigger playback & cueing of up to 10 audio documents using mac keyboard advanced quicktime/dv support with sample accurate synchronization launch peak pro from other popular tools like deck dp live final cut pro and more over 300 mb of high quality loops from powerfx and sound-fx-design recording notepad & timer use the sfx machine lt plug-in with 21 real-time special effects includes bias sqweez compressor/limiter plug-in supports all smdi hardware samplers supports built-in mac i/o and core audio compatible hardware,bias,599.0,bias peak pro 5 software music production software
359,riding academy: jump & ride,with this great software players will be able to experience realistic horse back racing. there are 12 action packed steeplechase courses and 6 different fredily horse to chose from. system requirements: win: 400mhz pemtium pc ii 128 mb ram,viva media,19.99,viva media llc riding academy: jump & ride
360,piano wizard premier software & stickers & midi cable,piano wizard premier combines the fun of a video game with the fundamentals of piano lessons. that means your child can sit up to a keyboard today and play anything from bach to bon jovi. what once felt like practice now feels like play. what's more you will never tire of the game. children choose from four different fantasy worlds to play in. they can change the speed the instrument sounds the skill level and more. and in addition to the midi songs that come standard with piano wizard premier thousands more can be downloaded from internet libraries. with piano wizard premier your child can download and play any midi song from virtually any artist whether classical pop rock country or alternative.,re:launch,149.95,re:launch piano wizard premier software & stickers & midi cable
361,bias peak le 5,peak le 5 makes it simple to create easy and affordable audio. craft the perfect audio experience whether you're creating the soundtrack for a film editing a broadcast or transferring your old vinyl to digital format. easily edit and customize mp3 or aac mixes for itunes. convert vinyl and cassettes to cd or ipod. optimize audio for the web enhance quicktime and imovie audio and so much more. podcasting presentations interviews - even voice mail prompts are easy and come out sounding great. high quality offline and real-time sample rate conversion powerful change duration dsp - lengthen (slow down) or shorten (speed up) audio without affecting pitch pencil tool offers direct sample editing - repair spikes and short clicks sample accurate loop creation and cd mastering for garageband and other complementary applications record edit process audio for podcasting integrates with bias soundsoap noise reduction software (available separately) display multiple documents simultaneously unlimited undo/redo with graphic edit history user-definable display size & color,bias,129.0,bias peak le 5 software music production software
362,marine aquarium + sharks,encore software 10272 : marine aquarium is the only screen saver used by over a quarter of a million users offering 26 fish and an unprecedented bonus of 11 sharks free! system requirements: windows 98se/me/2000 sp4/xp sp1* pentium class cpu (120mhz ...,encore software,9.95,encore software 10272 - marine aquarium + sharks - win 98 me 2000 xp
363,spy sweeper w/antivirus family edition,spy sweeper with antivirus family edition defends your pc and your personal information from the threats to privacy you'll encounter online! whenever you download something online you risk infection with spyware. chances are your computer is already infected putting your confidential information and your computer's performance at risk. spy sweeper blocks spyware downloads keeping you one step ahead of the spies and marketers. antivirus prevents malicious coders from ruining your computer by detecting viruses and blocking them before they start.,webroot software,29.95,webroot software inc 66210 - spy sweeper (mass merchant) (win 98 me 2000 xp)
364,mavis beacon 17 standard,encore software 10076 : encore software mavis beacon typing 17 standardby broderbund - 10076,encore software,19.95,encore software 10076 - mavis beacon typing 17 standardby broderbund
365,reference success deluxe 2006,reference success deluxe is a leading-edge suite of software tools for the personal computer. ideal for individual students or entire families it provides award-winning educator-endorsed content unrivaled breadth and scope of data and absorbing activities and presentation to captivate users. includes: in-depth national portraits featuring flags & histories almanac with vital facts and figures - nobel prize oscar and pulitzer prize winners; world leaders; inventions; athletes; writers; scientists and more,topics entertainment,49.95,topics entertainment reference success deluxe 2006
366,filemaker mobile 8 for palm os and pocket pc,filemaker mobile 8 is the perfect companion to your desktop version of filemaker providing instant access to the information you need when you're away from your desk or out of the office. you can also easily manage information while on the go with powerful data editing and updating features. keep your mobile workgroup in sync by synchronizing with shared filemaker databases sort data with column headings resize columns and edit data in list view - even lock the first column to scroll across the screen with ease,filemaker,69.0,td824ll/a filemaker mobile - ( v. 8 ) - complete package - 1 user - cd - win mac palm os
367,iris readiris pro 11.0 (mac),readiris pro 11 is one of the most powerful and accurate ocr solutions designed for home and professional users. when you need to convert any paper pdf or image documents into digital files that you can edit share and save readiris pro 11 will do it all. it retypes scanned documents and image files and converts pdf files in editable text maintaining the original layout and offering an unprecedented speed and ocr accuracy. a powerful productivity booster for flatbed scanners all-in-one devices and digital cameras readiris pro can revolutionize the way you scan and convert documents. note: this product is for macs only. readiris pro 11 is also available for pcs. select your scanner define the scanner settings and enable the proper system options (page deskewing page analysis page orientation). readiris pro 11 does the rest. view larger. choose ms word as the output format click on recognize + save and within seconds your text is converted and exported in word ready to be edited. view larger. if you have a scanned image with tables readiris will converted in editable tables you can export in excel. view larger. readiris will let you convert hand printed capital text in digital text you can edit with your preferred software. view larger. document preparation in three easy steps turning hardcopy text images or pdfs into editable text is as easy as 1 2 3. first you scan your document with your flatbed scanner or open a pdf file or image document. (readiris pro 11 is compatible with the most commonly used images and pdf files.). once the file is opened in the software you click on recognize and save and within seconds your document is converted into and editable digital file. the final step is to export your document into you favorite application such as word excel acrobat (pdf) internet explorer (html) and more. readiris pro will save you incredible amounts of retyping time. the new ocr engine of readiris pro 11 is optimized for speed and accuracy and features over 70 new major improvements from previous versions. not only will readiris pro 11 give you 30 percent greater text accuracy the program's advanced autoformat technology also perfectly retains the layout of the original document in the output. and most amazingly it can perform these tasks with 126 languages. (the software's user interface is localized in 21 languages; see system requirements for a list of the supported interface languages.) the ideal pdf solution readiris pro can open your pdf file (even read-only pdfs) and generate four different types of pdf files: fully searchable image over text text over image text only and image only. you can also edit your pdf into several of the supported output formats such as word and excel. and when you need to scan text into a pdf file readiris pro can do that as well. you can convert your incoming faxes letters or any paper documents into fully searchable pdf files quickly and accurately. it couldn't be any quicker or easier. multi-page scanning ability and more readiris pro features a convenient interval scanning mode that allows you to manually set the time interval between scans to greatly simplify the scanning process for multi-page documents on a flatbed scanner. this multi-page mode applies to both hard-copy as well as digital documents such as such as tiff or pdf files. with support for the new microsoft formats wordml and spreadsheet ml readiris lets you accurately reproduce any kind of table in your office documents. based on xml the new formats generate richer editing and formatting of files that are optimized for windows office 2003. your tables can be perfectly reproduced in excel 2003 retaining the text and even the colored background. readiris pro even lets you digitize hand-printed notes and 23 types of barcodes including 2-d barcodes. the information contained in your barcode is automatically retyped into your application.,i.r.i.s.,129.95,usoa289 iris readiris pro - ( v. 11 ) - complete package - 1 user - win
368,microsoft visual studio team suite 2005 with msdn premium (cd & dvd),microsoft visual studio team suite 2005 programs with msdn premium represents one of the most significant developer tools releases since the introduction of visual studio nearly a decade ago. it offers developers of all types a wider spectrum of development possibilities and a greatly advanced design experience. team foundation server can track the versions of files under source control keep a record of their change history. view larger. easily find track and view bugs by using the bug list report. view larger. team edition for software architects includes the new application designer a visual design surface that helps software architects design configure implement and deploy service-oriented applications. view larger. the data that visual studio team system collects from the on-chip performance counters describes how your code behaves at its lowest level -- literally how the machine code is performing. view larger. microsoft visual studio team system is an entirely new series of productive integrated life-cycle tools that help development teams communicate and collaborate more effectively. it provides tools to support the entire software development team -- software architects developers and testers -- for a far more efficient development process. combining visual studio team system role-based products into an integrated suite of applications that address the needs of multifunctional roles in an organization the visual studio 2005 team suite includes team edition for software architects team edition for software developers and team edition for software testers. included is an msdn premium subscription that provides continuous priority access to the technologies you need to support visual studio team system and build a broad range of applications and web services. visual studio team system also includes the microsoft solutions framework (msf). msf is a highly customizable scalable fully integrated set of software development processes principles and proven practices designed to deliver the type of guidance desired by the user when and where it is needed. msf provides a seamless experience with visual studio team system for process automation and guidance within the software development life cycle. a better way to collaboratei today's software systems comprise numerous distributed services spanning platforms protocols programming languages and even geographies. successful deployment of advanced solutions depends on bridging the communication gap between development and operations so that the entire it department is represented early and often throughout the software life cycle. visual studio team system offers tightly integrated and extensible tools that enable software development teams to develop more efficiently by improving communication and collaboration throughout the development process. with team suite the project manager testers developers and architect know where they are on the project at all times. that means less time in meetings and on e-mail or the phone and more time delivering high quality. visual studio team features visual studio team system features a world-class development environment built on top of visual studio 2005 professional edition. with team system you can publish and administer web sites more easily with the powerful combination of asp .net 2.0 and visual studio 2005. with the built-in publishing features such as integrated file transfer protocol (ftp) you can keep files in your local project and synchronize them with files located on a remote web server. visual studio automatically logs copied files which helps you to identify whether the remote site has been updated with the latest files. and to help protect your site and your ip you can precompile a web site to publish only executable code no source files to your production server. team system also gives you the ability to clean all those unwanted files out of your solution in a one-click operation. simply choose clean solution from the build menu and all the intermediate files and output directories in your whole solution will be removed. the deployment designer in team edition for software architects allows application designs to be validated for deployment within a particular datacenter identifying possible issues before the deployment begins. service oriented applications often involve multiple components that may reside on different servers and have a variety of configuration and communication requirements. the team edition for software architects deployment designer can be used to validate an application for deployment in a particular datacenter. validation detects many common deployment issues allowing the development team to resolve them before deployment occurs. this has the potential to greatly reduce the complexity of service oriented application deployments. visual studio team edition for testers provides the ability to gather and store detailed information about how an application performs under different types of load. team edition also lets you customize visual studio with your own internal tools or use supplemental products from more than 190 microsoft partners optimizing your team's development flexibility. msdn premium subscriptions visual studio 2005 team suite also includes an msdn premium subscription. an msdn premium subscription provides continuous priority access to the technologies you need to support visual studio team system and build a broad range of applications and web services including the latest versions of windows server 2003 windows 2000 server windows 2000 professional windows 2000 advanced server windows xp professional edition windows xp home edition and future windows releases. (usage rights are limited to development and testing only.) with the subscription your technical support includes unlimited usage of msdn managed newsgroups for online support with a guaranteed response time of two business days phone-based support incidents and free access to msdn online concierge for nontechnical questions regarding navigation of the msdn site knowledge base article searches and msdn subscriber downloads. also continuously updated technical content is available through the msdn library which offers comprehensive programming information code samples sample applications technical documentation and articles and the microsoft developer knowledge base.,microsoft,10949.0,microsoft 121-00324 - visual studio team suite 2005 with msdn premium subscriptions - complete product - software development - standard - 1 user(s) - complete product - english - pc- free shipping
369,microsoft visual studio team edition for software architect 2005 with msdn premium,microsoft visual studio team edition for software architects 2005 with msdn premium enables software architects operations managers and developers to increase the predictability of success during deployment by visually designing service-oriented solutions and validating them at design time against their operational environments. (team edition for software architects can be purchased separately or as part of the visual studio team suite 2005 suite of programs.) team edition for software architects includes the new application designer a visual design surface that helps software architects design configure implement and deploy service-oriented applications. view larger. the application designer allows users to create application diagrams that can be implemented into code at any time. view larger. the deployment designer can be used to validate an application for deployment in a particular datacenter. view larger. team edition for software architects is the first deliverable of the dynamic systems initiative aimed at improving the design and validation of distributed systems and enabling organizations to lower the risk of deployment of enterprise-class distributed systems. team edition for software architects gives architects operations managers and developers the ability to increase the predictability of success by visually constructing service-oriented solutions that can be validated against their operational environments prior to deployment. with team edition for software architects you can keep application design documents synchronized with code at all times design and configure .net web services visually create and manage a living blueprint of an entire distributed system using the first sdm-compatible tool communicate information using a common modeling language and validate design prior to implemenatation to ensure that your distributed application will deploy successfully. visual studio team edition for software architects integrates tightly with the visual studio team system allowing architects to communicate efficiently with all members of the software development lifecycle. creating viewing or assigning work items and sharing artifacts easily among all members of the team is easily accomplished. the distributed system designers treat models as first-class citizens in the development lifecycle and provide a continuously synched view of the code. this trip-less round-tripping ensures that the model remains up-to-date with the code at all times. team edition for software architects offers a rich extensible infrastructure for customers and third-parties to build upon and lets you leverage integrated partner solutions to extend the distributed system designers to provide support for management and deployment of distributed applications. advanced customization features allow you to model new application types or application hosts using the system definition model (sdm) sdk or extend existing sdm models. new distributed system designers integrate seamlessly with the visual studio 2005 ide enabling architects to design implement and validate distributed applications. the logical datacenter designer can be used to create a logical view of your datacenter including logical servers endpoints communication boundaries and pathways. with team edition for software architects you can import iis configuration information from a physical iis server. a scriptable deployment report captures all information required for deployment and the rich extensibility mechanism enables users to create new resources model new application and server types and specify custom settings and constraints. msdn premium subscriptions team edition for software architects includes an msdn premium subscription. an msdn premium subscription provides continuous priority access to the technologies you need to support team edition for software architects and build a broad range of applications and web services including the latest versions of windows server 2003 windows 2000 server windows 2000 professional windows 2000 advanced server windows xp professional edition windows xp home edition and future windows releases. (usage rights are limited to development and testing only.) with the subscription your technical support includes unlimited usage of msdn managed newsgroups for online support with a guaranteed response time of two business days phone-based support incidents and free access to msdn online concierge for nontechnical questions regarding navigation of the msdn site knowledge base article searches and msdn subscriber downloads. also continuously updated technical content is available through the msdn library which offers comprehensive programming information code samples sample applications technical documentation and articles and the microsoft developer knowledge base.,microsoft,5479.0,130-00360 microsoft visual studio team edition 2005 for software architects - complete pac
370,microsoft visual studio team edition for software developers 2005 with msdn premium,today's software systems comprise numerous distributed services spanning platforms protocols programming languages and even geographies. successful deployment of modern solutions depends on bridging the communication gap between development and operations so that the entire it department is represented early and often throughout the software lifecycle. microsoft visual studio team edition for software developers 2005 with msdn premium provides advanced development tools that enable teams to incorporate quality early and often throughout the development life cycle. the data that visual studio team system collects from the on-chip performance counters describes how your code behaves at its lowest level -- literally how the machine code is performing. view larger. visual studio team system helps you collect event trace for windows event data from a number of different providers. this detailed information helps you correlate the behavior of your application with its effect on the system. view larger. you can view the source code from any view that visual studio team system offers for the performance data collected about your application. view larger. featuring performance analysis tools that allow developers to measure evaluate and target performance-related issues in their code team edition for software developers can save time and resources and significantly improve quality by helping identify performance bottlenecks early on. (team edition for software developers can be purchased separately or as part of the visual studio team suite 2005 suite of programs.) team edition for software developers enables advanced developers to verify the performance and quality of the code they write. by integrating advanced tools into the visual studio ide team edition for software developers assists developers in detecting coding and security related issues earlier in the development cycle thereby reducing the overall cost of fixing code defects. in addition code analysis tools can be used as a part of the check-in policy for a nightly build process enabling development teams to correct defects before code is checked into the source tree. performance analysis tools allow developers to measure evaluate and target performance-related issues in their code providing the capability for developers to perform unit tests on their code modules during development. featuring a world-class development environment built on top of visual studio 2005 professional edition team edition for software developers consists of three main areas -- powerful tools tight integration and team collaboration. team edition for software developers offers developers access to the same advanced tools that microsoft uses to develop its desktop applications for code analysis performance profiling and verification. by integrating quality and verification tools in the development lifecycle developers can be more productive detect code defects earlier and decrease the time to deliver. team edition for software developers is tightly integrated within the visual studio 2005 team system thereby allowing enterprise developers as part of a productive development team to reduce the complexity of development and facilitate better communication and collaboration throughout the development process. by integrating all tasks within the visual studio ide sharing information between teams and roles has never been easier or more efficient. team edition for software developers also allows users come up to speed with the products quickly without the need for excessive expensive and time-consuming training and learning. tighter integration promotes better collaboration between it operations and application development resulting in greater business efficiencies and a more predictable development process. other advanced features include integrated static analysis tools for early detection of security and performance problems; automatic unit test generation for entire namespaces classes or individual methods; profiling tools for analyzing the performance and efficiency of running code; and visual studio 2005 team explorer for accessing all services and artifacts stored in visual studio team foundation server. msdn premium subscriptions team edition for software developers includes an msdn premium subscription. an msdn premium subscription provides continuous priority access to the technologies you need to support team edition for software developers and build a broad range of applications and web services including the latest versions of windows server 2003 windows 2000 server windows 2000 professional windows 2000 advanced server windows xp professional edition windows xp home edition and future windows releases. (usage rights are limited to development and testing only.) with the subscription your technical support includes unlimited usage of msdn managed newsgroups for online support with a guaranteed response time of two business days phone-based support incidents and free access to msdn online concierge for nontechnical questions regarding navigation of the msdn site knowledge base article searches and msdn subscriber downloads. also continuously updated technical content is available through the msdn library which offers comprehensive programming information code samples sample applications technical documentation and articles and the microsoft developer knowledge base.,microsoft,5479.0,124-00458 microsoft visual studio team edition 2005 for software developers - complete pac
371,ultimate puzzle games,ultimate puzzle collection includes four full version puzzle games for your pc. from easy to challenging for even the most seasoned puzzle players. enjoyed by all ages and it will keep you entertained for hours. includes super collapse! atlantis coral quest crystalize! and soda pipes.,valusoft,19.99,ultimate puzzle collection
372,web graphics creator,,sos aggregation company,39.95,sos aggregation company web graphics creator - laughingbird software
373,media studio for psp standard editon,media studio for psp standard editon brand: encore software mpn: 800060 variant name: media studio for psp standard editon,encore software,29.99,media studio for psp standard editon (800060)
374,scholastic brain play: pre-kindergarten - 1st grade,scholastic's brain play preschool-1st grade is designed for growing young minds. these games will develop essential learning skills that children need most. they'll pick up important reading math logic and typing skills. special workbooks reinforce the lessons and build stronger skills through practice.,topics entertainment,19.99,scholastic brain play preschool to 1st grade topics
375,gsp greatest moments of our time,a nostalgic look at the people places and events of the 20th century that defined us connecting people and families with history.,global software publishing north america inc,9.99,global software publ na gsp greatest moments of our time
376,best of card games (jewel case),best of card games features over 150 different card games for all ages and skill levels. enjoy 150 many variations of solitaire poker blackjack rummy pinochle hearts spades euchre cribbage oh hell fan tan spite and malice canasta and whist. there's also five classic games especially for kids & over 100 solitaire games. with enhanced graphics multiple skill levels customizable cards and backgrounds plenty of hinst and tips in each game -- you've got everything you need to have a great time! includes all these classics: euchre rummy cribbage pinochle whist canasta oh hell fan tan spite and malice,on hand software,9.99,csdc best of card games j/c - on hand software
377,stuffit deluxe v 10.0 (mac),stuffit deluxe 10 is the latest version of this innovative data compression access and management tool for mac os x. this release includes patent pending jpeg compression technology allowing users to compress jpeg images and photos up to 30% with no loss in image quality. the only previous solution available for those looking to reduce the size of jpeg images was to further reduce the quality of the image. stuffit's jpeg compression technology provides a new solution that offers smaller files without any penalty of reduced picture clarity. the product also allows users to view thumbnails for archived jpeg images without requiring them to decompress the archive. stuffit deluxe also offers new features that seamlessly integrate with mac os x 10.4 tiger. the included spotlight importer allows spotlight to index file names for items stored inside stuffit zip and tar archives. when the user performs a search spotlight will now list all the archives on the user's computer that contain files that match the search terms. stuffit deluxe 10 also includes support for tiger' s new automator scripting tool allowing users to compress and expand stuffit zip and tar archives as part of their automator workflows.,smith micro software,79.99,allume stuffit deluxe 10.0 os x 10.4 or higher
378,vivaldi's musical adventure pod,essential tools for child development product information the fun way to learn classical music! musical adventure is the innovative way to introduce your child to the treasures of classical music. you'll be amazed at the way your child learns selections from vivaldi after playing the games. educational feature sound discrimination differentiating musical instruments logical thinking product features orchestra games pool of tears memory games listening room rabbit house twisted riddle games musical jigsaw puzzle games vivaldi's biography windows requirements windows 98 2000 xp 30mb hard disk space cd-rom drive sound card mouse due to the type of product packaging once this product has been opened it is non-returnable. if the product is defective it will be exchanged for the same product. no cash refunds.,fogware publishing,9.95,musical adventure - vivaldi
379,stationery design studio,use custom layouts to design and print high impact business stationery without the added cost of additional software. reinforce your identity by instantly matching letterhead labels and envelopes to your business card before sending your results to ...,summit software,19.99,stationery design studio (win 98 me 2000 xp)
380,namo webeditor 2006,namo webeditor 2006 suite is one of the most complete web authoring applications of all time and quite possibly the only software you will need to create edit publish and manage your websites. an integrated development environment empowers web professionals to create cutting-edge sites. easy-to-use functions enable beginners to grow into highly-skilled web designers. take advantage of new themes smart clip arts flash buttons card templates and more -- all to help make your website look smart and cool smart clipart editor lets you create your own banners and buttons and transforms them into images,namo,99.99,csdc namo webeditor suite 2006
381,microsoft oem 3pk xp home edition sp2 ( n09-01624 ),,microsoft corporation,299.99,microsoft windows xp pro sp2 retail
382,web radio recorder,key features: over 2000 stations record broadcasts automatic programming dvr-type functionality user guide...,magix entertainment,24.99,magix webradio recorder (pc) magix entertainment
383,neuratron photoscore professional 4,photoscore professional - advance music scanning software - mac os x and windows photoscore professional from sibelius is a scanning software extension for sibelius 4 software and an advanced version of the photoscore lite . it can also scan music ...,sibelius software ltd.,199.99,sibelius photoscore professional scanning software music production software
384,imsi turbocad designer v.11,the fastest easiest way to design!product informationit's easy to bring your wildest design ideas to life with turbocad's powerfulvisualization tools.&nbsp; create professional 2d sketches and precisiondrawings that are sure to impress.&nbsp; the best par,imsi,39.99,imsi turbocad designer 11
385,instant immersion spanish (audio book),topics entertainment instant immersion spanish deluxe 2.0. you set the pace for learning with this series of personalized beginner intermediate and advanced programs. with entertaining instruction on 20 key lessons including vocabulary grammar and phonetics you will quickly start speaking reading and writing spanish windows & xp pc only,topics entertainment,49.99,topics entertainment 40248 instant immersion spanish audio book audio book
386,instant immersion translator deluxe 2.0,instant immersion translator deluxe 2.0 makes sure that your messages never lose something in the translation. this user-friendly suite of sophisticated language conversion tools are customized to meet all your translation needs. whether you need to convert e-mails text files or entire web pages you have a detailed two-way translation between english and 16 other languages.,topics entertainment,49.99,instant immersion translator deluxe 2.0
387,toysight gold for isight: includes 15 games (mac),toysight gold uses your isight camera or any firewire-equipped digital camcorder to put you in the game. instead of controlling game object through a keyboard game pad or mouse you'll control a series of games by waving your hands in the air. it features 12 great games that will make you smile laugh and cheer: the owl and the pussycat toy wars pie sight tennis xtreme flysight mars lander airheads,freeverse software,29.99,freeverse software 5014 - toysight gold (mac 10.2 or higher)
388,microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,sql server is a comprehensive integrated end-to-end data solution that empowers users across your organization by providing them with a secure reliable and productive platform for enterprise data and business intelligence (bi) applications. sql server 2005 delivers powerful familiar tools to information technology professionals as well as to information workers reducing the complexity of creating deploying managing and using enterprise data and analytical applications on platforms ranging from mobile devices to enterprise data systems. through a comprehensive feature set interoperability with existing systems and automation of routine tasks sql server 2005 provides a complete data solution for enterprises of all sizes.,microsoft,1849.0,sql server std 2005 5-clt x64 - microsoft - 228-04013
389,microsoft sql server developer edition 2005 cd/dvd,achieve higher levels of database scalability with sql server 2005 (64-bit) the enterprise-class database optimized to run on x64- or itanium-based servers and microsoft windows server 2003. the 64-bit features are available on sql server 2005 standard enterprise and developer editions.,microsoft software,49.95,microsoft e32-00575 - sql server 2005 developer edition x64 - complete product - dbms - 1 developer(s) - complete product - standard - english - pc
390,sims 2 university expansion pack,expansion pack; requires sims 2 to run in the sims 2: university you'll get a chance to take your sim to college. watch as they enjoy their newfound freedom -- they'll party with friends join fraternities and sororities and pull outrageous pranks. help them fulfill new lifetime goals to unlock more rewards and reap all of the benefits of their university years.,aspyr media,34.99,aspyr sims 2 university expansion pack
391,espro + interpretair s/w,- marketing information: interpretair provides wireless lan installers and network professionals with the vision they need to plan deploy verify and document their 802.11a/b/g wlan networks. interpretair is a wireless site survey tool and much more; it provides visualization of rf health metrics greatly simplifying wlan environment analysis and enabling performance tuning. discover where and why wlan network performance is sub-optimal and take action; proactively addressing problems that could affect mobile application performance. product information - software sub type: network connectivity/management - software name: interpretair wlan survey - complete product - features and benefits: planning and simulation: - simulate wlan performance using interpretair software prior to installing any live wireless lan equipment. define environmental characteristics such as wall construction materials access point power configuration and antenna selection to view how subtle changes may affect wlan performance before installing a single access point. verification and reports: - physical changes in the enterprise can affect rf performance. the interpretair software integrated report generator automatically creates comprehensive site survey documentation that can be recalled for future analysis and comparison rf health: - interpretair software takes rf site survey analysis to a new level by enabling visualization of multiple measurement criteria in a single view,fluke networks,5750.6,fluke networks intair-lap - interpretair wlan survey - complete product - network connectivity/management - 1 user(s) - complete product - standard - pc- free shipping
392,x-oom movie clone 3 gold,copy complete original dvds just your favorite scenes or remove extras you don't want. featuring a user-friendly interface and unique compression technology x-oom movie clone 3 gold rapidly burns flawless copies of dvds and cds. turn your divx collection & avi movie files into dvds and watch them on your dvd player. of course you can take your favorite movie with you on your pda. thanks to x-oom movie clone 3 gold's versatile conversion features you can turn any dvd into any format you like f.e. divx® avi wmv real® or even into vcds or svcds.whatever you copy you'll be thrilled with the backup speed and quality tristep technology delivers extremely fast backups - entire dvds copied in minutes! complete 1 - 1 dvd backups or movie only mode including selected languages simultaneous copy and burn operations powerful transcoding technology allows you to fit larger dvd movies (9 gb) onto standard blank dvds (4.7 gb) automatic re-authoring features allow you to split backup copies across more than one disk transfer a dvd movie to vcd or svcd 1 - 1 audio copying for perfect sound quality including stereo 5.1 surround dts and dolby digital highspeed conversion of dvds into divx- avi- wmv- or even cell phone-fileformat (new!) highspeed conversion of any divx- avi- wmv-/real-movie file into dvd or svcd format (new!) intuitive user-friendly interface makes operation simple backups will play in any standard dvd player,x-oom,22.9,xoom movie clone 3 gold
